Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313326.000000, 48.237773, 16.331762, 5343585.500000, 598885.062500, 256.100006, -0.399628, -0.998819, -63.149853
1508313327.000000, 48.237775, 16.331763, 5343586.000000, 598885.187500, 256.299988, -0.381138, -1.084204, -63.161171
1508313328.000000, 48.237777, 16.331768, 5343586.000000, 598885.562500, 256.700012, -0.329670, -1.045209, -63.124512
1508313329.000000, 48.237777, 16.331768, 5343586.000000, 598885.562500, 257.399994, -0.294301, -1.099920, -63.149067
1508313330.000000, 48.237778, 16.331765, 5343586.000000, 598885.312500, 257.700012, -0.333203, -1.080695, -63.163025
1508313331.000000, 48.237783, 16.331763, 5343586.500000, 598885.187500, 257.799988, -0.325549, -1.085898, -63.189114
1508313332.000000, 48.237793, 16.331767, 5343588.000000, 598885.437500, 257.600006, -0.328325, -1.064930, -63.168701
1508313333.000000, 48.237805, 16.331768, 5343589.000000, 598885.500000, 257.799988, -0.326219, -1.065391, -63.370415
1508313334.000000, 48.237820, 16.331773, 5343591.000000, 598885.875000, 258.100006, -0.350241, -1.095958, -63.391632
1508313335.000000, 48.237830, 16.331785, 5343592.000000, 598886.687500, 258.399994, -0.332343, -1.064881, -63.131824
1508313336.000000, 48.237842, 16.331798, 5343593.000000, 598887.687500, 258.399994, -0.348555, -1.067066, -63.191082
1508313337.000000, 48.237845, 16.331808, 5343593.500000, 598888.437500, 258.399994, -0.331040, -1.068269, -63.198372
1508313338.000000, 48.237845, 16.331813, 5343593.500000, 598888.812500, 258.399994, -0.342644, -1.042255, -63.279884
1508313339.000000, 48.237847, 16.331813, 5343594.000000, 598888.750000, 258.600006, -0.327921, -1.074337, -63.208122
1508313340.000000, 48.237855, 16.331827, 5343595.000000, 598889.750000, 258.700012, -0.358103, -1.033451, -63.145802
1508313341.000000, 48.237865, 16.331842, 5343596.000000, 598890.875000, 259.000000, -0.316563, -1.070376, -63.380669
1508313342.000000, 48.237870, 16.331852, 5343596.500000, 598891.562500, 259.399994, -0.300885, -1.071213, -63.358772
1508313343.000000, 48.237878, 16.331848, 5343597.500000, 598891.312500, 259.700012, -0.301415, -1.092555, -63.239517
1508313344.000000, 48.237887, 16.331842, 5343598.500000, 598890.812500, 259.799988, -0.309307, -1.086776, -63.301685
1508313345.000000, 48.237892, 16.331833, 5343599.000000, 598890.187500, 259.799988, -0.384007, -1.081540, -63.124996
1508313346.000000, 48.237895, 16.331832, 5343599.000000, 598890.062500, 259.899994, -0.372533, -1.047769, -63.119938
1508313347.000000, 48.237898, 16.331833, 5343599.500000, 598890.187500, 259.899994, -0.343554, -1.069759, -63.417152
1508313348.000000, 48.237905, 16.331838, 5343600.500000, 598890.500000, 259.799988, -0.347824, -1.086924, -63.231621
